id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go there until it was open?,What is the type of the road available to the asset?,distance travelled in km to avail public transport,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,work duration per day in minutes,What are the working days of the facility?,How many teachers are employed in the facility?,How many support staff are employed in the facility?,Where do you get drinking water from?,Are there toilets available for public usage?,How do you deal with the waste generated from the facility?,Are the premises cleaned with disinfectant regularly?,How frequently are the premises cleaned with disinfectant in a week?,Do you have grid connection for energy supply?,What is the alternative energy source available in the facility?,Do you have landline connectivity,Do you have wired internet connection?,How do you maintain records for operations?,What are the areas you get support from government agencies for the facility?,What are the areas you get support from government agencies for your students?,Where do you gets textbooks for the children?,What is the total campus area?,Where do you get the curriculum for classes and educational programs?,Are you using digital tools for teaching?,Are there checkups or medical facilities available?,What is the frequency of these checkups?,Are there any meals served?,Is there presence of any recreational/playing material for the kids?,What kind of residential facilities are available?,How many classrooms are there in the institute ?,How many people are enrolled or are students at this asset?,Apart from academics what are the co-curricular activities available for students ?,What is the percentage of drop-outs?,Are there any disaster management courses or drills practice at the institute?,To how many women is this institution providing services?,How many buses go to this asset?,Do the centers get timely supplies of the government goods?,For what all materials the government is providing fund ?,access,road_connectivity,public_transport,school_buses,mobile_connectivity,accessibility,building_type,security,land,infrastructure,observation,working_hours,working_days,availability,teachers,support_staff,employability,drinking_water,water,toilets,waste_management,general_cleanliness,sanitation,electricity,energy,alternate_energy,telephone,broadband,mobile,communication,records,record_maintenance,support,govt_support,textbooks,curriculum,educational_materials,awareness,digital_technologies,checkups,meals,health,recreational,residential,classrooms,facilities,enrollment_population,extra_curriculars,dropouts,educational_statistics,disaster_drills,disaster_preparedness,general,gender_equality,diversity,supplies,funding,govt_supplies,specific,anganwadi_score
2385,Education,Anganwadi Building,Papumpare,Doimukh,Lekha,27.16322000000001,93.77228000000001,0.2,0.2857,0.0,0.6667,0.75,0.0,0.0,0.1667,0.8571,1.0,1.0,0.1111,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8333,0.8333,1.0,0.15,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.75,0.75,0.0,0.25,0.0,1.0,0.4,20.0,28.5714,0.0,0.0,66.6667,32.0952,0.0,0.0,15.0,6.0,16.4381,16.6667,5.1429,10.9048,100.0,100.0,100.0,11.1111,11.1111,100.0,50.0,100.0,85.0,100.0,100.0,0.0,0.0,0.0,75.0,60.0,100.0,100.0,166.6667,166.6667,100.0,100.0,100.0,0.0,0.0,0.0,100.0,60.0,100.0,0.0,50.0,65.0,100.0,75.0,75.0,87.5,0.0,0.0,71.698,25.0,25.0,100.0,40.0,73.0,63.4,58.9864
2386,Education,Anganwadi Building,Papumpare,Doimukh,Lekha,27.1142,93.73624000000001,0.2,0.2857,0.0,0.6667,0.75,1.0,0.0,0.3333,0.8571,1.0,1.0,0.1111,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8333,0.8333,1.0,0.15,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.76,0.75,0.25,0.0,0.25,0.0,1.0,0.2,20.0,28.5714,0.0,0.0,66.6667,32.0952,100.0,0.0,15.0,56.0,46.4381,33.3333,5.1429,19.2381,100.0,100.0,100.0,11.1111,11.1111,100.0,50.0,100.0,85.0,100.0,100.0,0.0,0.0,0.0,75.0,60.0,100.0,100.0,166.6667,166.6667,100.0,100.0,100.0,0.0,0.0,0.0,100.0,60.0,100.0,0.0,50.0,65.0,76.0,75.0,25.0,60.5,0.0,0.0,70.7647,25.0,25.0,100.0,20.0,64.0,56.2,62.9864
2489,Education,Anganwadi Building,Papumpare,Parang,Parang,27.3305,93.50596999999999,0.1,0.5714,0.0,0.0,0.0,1.0,0.0,0.6667,0.8571,1.0,1.0,0.1111,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.02,1.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.88,0.25,0.25,0.0,0.25,1.0,1.0,0.2,10.0,57.1429,0.0,100.0,0.0,24.8571,100.0,0.0,2.0,50.8,40.4229,66.6667,5.1429,35.9048,100.0,100.0,100.0,11.1111,11.1111,100.0,50.0,0.0,55.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,50.0,100.0,95.0,88.0,25.0,25.0,56.5,0.0,0.0,55.7313,25.0,25.0,100.0,20.0,64.0,56.2,52.7634
2521,Education,Anganwadi Building,Namsai,Namsai,Kaisu L/C,27.4133,96.24263,0.2,0.5714,0.8,0.5,0.75,1.0,0.0,0.5,0.8571,1.0,1.0,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.4,0.25,0.25,0.0,0.5,0.0,0.0,0.2,20.0,57.1429,80.0,0.0,50.0,51.3571,100.0,0.0,15.0,56.0,54.1429,50.0,5.1429,27.5714,100.0,100.0,100.0,22.2222,22.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,60.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,50.0,65.0,40.0,25.0,25.0,32.5,0.0,0.0,39.7258,50.0,50.0,0.0,20.0,9.0,17.2,38.104
2589,Education,Anganwadi Building,Tawang,Kitpi,Kitpi,27.5689,91.89838,1.0,0.2857,0.0,0.3333,0.75,1.0,0.0,0.8333,0.8571,0.0,1.0,0.1111,1.0,0.5,1.0,0.0,1.0,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.5,0.6,0.5,0.25,0.0,0.25,0.0,1.0,0.2,100.0,28.5714,0.0,0.0,33.3333,39.7619,100.0,0.0,100.0,90.0,69.9048,83.3333,5.1429,44.2381,0.0,100.0,50.0,11.1111,11.1111,100.0,50.0,100.0,85.0,100.0,100.0,25.0,0.0,0.0,75.0,60.0,100.0,100.0,200.0,200.0,100.0,100.0,100.0,0.0,0.0,150.0,100.0,120.0,0.0,0.0,50.0,25.0,60.0,50.0,25.0,47.5,0.0,0.0,72.948,25.0,25.0,100.0,20.0,64.0,56.2,68.9898
2611,Education,Anganwadi Building,Lower Subansiri,Yachuli,Toon,27.463620000000002,93.77408,0.1,0.1429,0.0,0.6667,0.75,0.0,0.0,0.5,0.7143,1.0,1.0,0.2222,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.8,0.5,0.25,0.0,0.25,0.0,0.0,0.4,10.0,14.2857,0.0,0.0,66.6667,24.381,0.0,0.0,10.0,4.0,12.1524,50.0,4.2857,27.1429,100.0,100.0,100.0,22.2222,22.2222,0.0,50.0,100.0,45.0,0.0,0.0,0.0,0.0,0.0,75.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,50.0,65.0,80.0,50.0,25.0,57.5,0.0,0.0,60.4544,25.0,25.0,0.0,40.0,18.0,19.4,42.5831
2757,Education,Anganwadi Building,Tawang,Mukto,Mukto,27.54694000000001,91.90682,0.0,0.0,0.4,0.8333,0.75,1.0,0.0,1.0,0.1429,1.0,1.0,0.1111,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.8,0.25,0.5,0.0,0.25,0.0,1.0,0.2,0.0,0.0,40.0,0.0,83.3333,26.8333,100.0,0.0,15.0,56.0,44.3333,100.0,0.8571,50.4286,100.0,100.0,100.0,11.1111,11.1111,100.0,50.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,75.0,60.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,0.0,0.0,50.0,25.0,80.0,25.0,50.0,60.0,0.0,0.0,38.6325,25.0,25.0,100.0,20.0,64.0,56.2,43.2862
3130,Education,Anganwadi Building,Papumpare,Doimukh,Chiputa,27.180970000000002,93.77671,0.1,0.2857,0.0,1.0,0.75,0.0,0.0,0.1667,0.8571,1.0,1.0,0.2222,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.8,0.5,0.25,0.0,0.25,0.0,1.0,0.6,10.0,28.5714,0.0,0.0,100.0,38.4286,0.0,0.0,50.0,20.0,27.3714,16.6667,5.1429,10.9048,100.0,100.0,100.0,22.2222,22.2222,100.0,50.0,100.0,85.0,100.0,100.0,0.0,0.0,0.0,75.0,60.0,100.0,100.0,50.0,50.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,60.0,100.0,0.0,50.0,65.0,80.0,50.0,25.0,57.5,0.0,0.0,59.6425,25.0,25.0,100.0,60.0,82.0,70.6,55.3798
3179,Education,Anganwadi Building,West Kameng,Dirang,Dirang,27.337229999999998,92.27051999999999,0.0,0.5714,0.7,0.8333,0.75,0.0,0.0,0.5,0.7143,1.0,1.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.3333,0.0,0.15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8,0.25,0.75,0.0,0.25,0.0,1.0,0.2,0.0,57.1429,70.0,0.0,83.3333,54.1905,0.0,0.0,15.0,6.0,25.2762,50.0,4.2857,27.1429,100.0,100.0,100.0,11.1111,11.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,60.0,100.0,100.0,66.6667,66.6667,0.0,100.0,48.0,0.0,0.0,0.0,100.0,60.0,0.0,0.0,100.0,50.0,80.0,25.0,75.0,67.5,0.0,0.0,43.9099,25.0,25.0,100.0,20.0,64.0,56.2,42.6412
3222,Education,Anganwadi Building,Tawang,Lumla,Manpat,27.533690000000004,91.71893,0.1,0.5714,0.4,0.8333,0.75,0.0,0.0,0.6667,0.2857,1.0,1.0,0.1111,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.16,0.5,0.25,0.0,0.25,0.0,1.0,0.4,10.0,57.1429,40.0,0.0,83.3333,51.6905,0.0,0.0,25.0,10.0,26.6762,66.6667,1.7143,34.1905,100.0,100.0,100.0,11.1111,11.1111,0.0,50.0,100.0,45.0,0.0,0.0,0.0,0.0,0.0,75.0,60.0,100.0,100.0,0.0,0.0,100.0,0.0,52.0,0.0,0.0,0.0,100.0,60.0,0.0,50.0,50.0,30.0,16.0,50.0,25.0,25.5,0.0,0.0,38.1956,25.0,25.0,100.0,40.0,73.0,63.4,40.9326
